Player Name,Position,Touches,Shots,Progressive Carries,Interceptions,fThird Passes,Successful fThird Passes%,Crosses,Successful Crosses%,Ground Duels,gDuels Won%
Ben White,DEF,62.57929883138564,0.6761268781302171,22.237061769616027,1.7278797996661102,53.63939899833055,0.8291316526610645,3.8313856427378967,0.196078431372549,17.353923205342237,0.5021645021645021
Bukayo Saka,MID,56.749279538904894,3.4755043227665703,3.579250720461095,0.7780979827089338,2.8530259365994235,0.6,0.05187319884726225,0.0,3.00864553314121,0.5862068965517241
Declan Rice,MID,64.04518178609247,1.5248852806212496,8.259795270031768,0.41298976350158845,15.248852806212495,0.7583333333333333,2.0014119308153897,0.1111111111111111,10.864807624426403,0.3538011695906433
Gabriel Jesus,FWD,48.95522388059701,2.985074626865672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Magalhães,DEF,72.723044397463,0.8372093023255813,8.219873150105707,0.19027484143763215,12.900634249471459,0.7492625368731564,3.386892177589852,0.2359550561797752,7.839323467230444,0.3737864077669903
Gabriel Martinelli,MID,42.37826086956522,2.1521739130434785,4.304347826086957,0.391304347826087,8.217391304347826,0.6285714285714286,0.3521739130434783,0.1111111111111111,9.273913043478261,0.4683544303797468
Jakub Kiwior,DEF,69.37332139659803,0.24171888988361684,4.189794091316025,0.7251566696508506,10.63563115487914,0.7045454545454546,2.0948970456580125,0.2307692307692307,4.270367054610564,0.5094339622641509
Jurriën Timber,DEF,65.10322047894303,0.5202312138728323,1.412056151940545,0.22295623451692814,6.056977704376549,0.6073619631901841,0.22295623451692814,0.1666666666666666,5.499587118084228,0.25
Kai Havertz,FWD,40.1974386339381,2.545357524012807,1.632870864461046,0.9124866595517609,7.203842049092849,0.7,0.288153681963714,0.3333333333333333,6.099252934898613,0.4645669291338583
Leandro Trossard,MID,49.76470588235294,2.5411764705882356,4.764705882352941,0.8823529411764706,10.411764705882353,0.752542372881356,2.4000000000000004,0.2058823529411764,5.894117647058824,0.5329341317365269
Martin Ødegaard,MID,69.2396907216495,1.8943298969072166,10.012886597938143,0.9278350515463918,27.873711340206185,0.8862690707350902,0.0,0.0,8.27319587628866,0.5467289719626168
Mikel Merino,MID,48.15939278937382,2.163187855787476,13.605313092979129,1.537001897533207,36.20493358633776,0.7012578616352201,4.326375711574952,0.25,17.647058823529413,0.5161290322580645
Myles Lewis-Skelly,DEF,63.32846715328467,0.19708029197080293,17.54014598540146,2.2335766423357666,18.919708029197082,0.5902777777777778,0.5255474452554744,0.25,8.474452554744525,0.5813953488372093
Thomas Partey,MID,73.60128617363344,0.8360128617363344,2.4115755627009645,0.707395498392283,5.916398713826367,0.7880434782608695,1.1897106109324758,0.1081081081081081,3.1832797427652735,0.5656565656565656
William Saliba,DEF,85.32390660966787,0.1775731667214732,5.504768168365669,0.7694837224597172,5.208812890496547,0.5738636363636364,0.147977638934561,0.0,3.1963170009865176,0.5185185185185185
Amadou Onana,MID,58.57758620689655,0.9421182266009852,4.544334975369458,0.4433497536945813,19.064039408866993,0.7005813953488372,2.6600985221674875,0.1041666666666666,8.36822660098522,0.4039735099337748
Boubacar Kamara,MID,61.77391304347827,0.5217391304347826,6.730434782608696,1.4086956521739131,12.0,0.782608695652174,0.5217391304347826,0.4,8.243478260869566,0.5443037974683544
Donyell Malen,FWD,43.79194630872483,4.530201342281879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ezri Konsa,DEF,60.88866189989785,0.33707865168539325,7.1092951991828395,1.3789581205311543,11.430030643513788,0.6058981233243967,0.3983656792645556,0.0769230769230769,3.5852911133810013,0.4786324786324786
Ian Maatsen,DEF,77.87234042553192,1.5159574468085106,18.111702127659573,1.356382978723404,22.898936170212764,0.7630662020905923,0.0,0.0,8.058510638297873,0.6138613861386139
Jacob Ramsey,MID,45.88452088452088,1.0503685503685503,10.06142506142506,0.11056511056511056,22.168304668304668,0.8029925187032418,1.2714987714987716,0.0,7.905405405405406,0.4825174825174825
Jhon Durán,FWD,42.412140575079874,4.456869009584664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John McGinn,MID,47.90582959641255,1.251121076233184,5.569506726457399,0.3632286995515695,13.399103139013452,0.6927710843373494,0.8475336322869955,0.238095238095238,8.233183856502242,0.4411764705882353
Leon Bailey,MID,47.24409448818898,2.204724409448819,7.086614173228346,1.1023622047244095,15.118110236220472,0.7760416666666666,0.47244094488188976,0.1666666666666666,12.04724409448819,0.5490196078431373
Lucas Digne,DEF,60.534351145038165,0.4961832061068702,3.8167938931297707,0.6870229007633587,19.389312977099237,0.6437007874015748,0.8778625954198473,0.217391304347826,11.488549618320612,0.4950166112956811
Marcus Rashford,MID,44.55820476858345,2.208976157082749,11.171107994389901,0.3155680224403927,25.876577840112205,0.7878048780487805,3.281907433380084,0.3076923076923077,14.32678821879383,0.4361233480176211
